employee_number,first_name,last_name,ppsn_masked,department,job_title,pay_frequency,salary_type,annual_salary,hourly_rate,standard_hours,prsi_class,pension_scheme,pension_ee_percent,pension_er_percent,employment_start_date,employment_end_date,tax_basis,annual_tax_credits,annual_srcop,usc_status,lpt_annual,benefits
E0018,Katie,Murray,••••••1IA,Operations,Logistics Coordinator,MONTHLY,SALARY,35800.00,,,A,OCCUPATIONAL,0.0500,0.0300,2019-08-09,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0019,Sinéad,Murray,••••••3QA,Operations,Logistics Coordinator,MONTHLY,SALARY,39600.00,,,A,,,,2025-10-13,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0020,Conor,Carroll,••••••3FA,Sales,Sales Representative,MONTHLY,SALARY,67600.00,,,A,PRSA,0.0300,0.0500,2022-01-03,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,COMPANY_CAR
E0021,Eoin,Horgan,••••••4LA,Sales,Account Executive,MONTHLY,SALARY,42000.00,,,A,,,,2016-06-06,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0022,Lucas,Farrell,••••••8FA,Sales,Sales Representative,MONTHLY,SALARY,48200.00,,,A,,,,2026-05-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,MEDICAL_INSURANCE
E0023,Ciarán,Fitzgerald,••••••3TA,Operations,Operations Associate,MONTHLY,SALARY,48600.00,,,A,OCCUPATIONAL,0.0600,0.0600,2024-05-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0024,Éabha,Campbell,•••••23P,Operations,Logistics Coordinator,MONTHLY,SALARY,38800.00,,,J,OCCUPATIONAL,0.0500,0.0300,2017-12-15,,CUMULATIVE,6000.00,53000.00,REDUCED,0.00,
E0025,Emma,Smith,••••••4MA,Sales,Sales Representative,MONTHLY,SALARY,59000.00,,,A,OCCUPATIONAL,0.0800,0.0500,2025-08-04,,CUMULATIVE,6000.00,53000.00,ORDINARY,495.00,COMPANY_CAR
E0026,Chloe,Murphy,•••••32C,Operations,Logistics Coordinator,MONTHLY,SALARY,38900.00,,,A,OCCUPATIONAL,0.0600,0.0300,2021-10-02,,CUMULATIVE,6000.00,53000.00,ORDINARY,1035.00,
E0027,Jack,Ryan,••••••9KA,Customer Service,Senior Agent,WEEKLY,HOURLY,,16.8300,30.00,A,PRSA,0.0300,0.0500,2020-04-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0028,Mateus,Clarke,••••••9MA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,15.9300,39.00,A,,,,2024-11-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0029,Lucas,Clarke,••••••8AA,Finance,Financial Analyst,MONTHLY,SALARY,55400.00,,,A,OCCUPATIONAL,0.0600,0.0600,2017-02-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0030,Fionn,Campbell,••••••8WA,Customer Service,Senior Agent,WEEKLY,HOURLY,,14.9200,39.00,A,,,,2020-07-03,,CUMULATIVE,4000.00,35000.00,ORDINARY,405.00,
E0031,Adam,McLoughlin,••••••5GA,Operations,Operations Associate,MONTHLY,SALARY,37900.00,,,A,,,,2012-05-24,,CUMULATIVE,4000.00,35000.00,ORDINARY,1035.00,MEDICAL_INSURANCE
E0032,Diarmuid,O'Neill,••••••2FA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.4800,30.00,A,,,,2012-03-17,,CUMULATIVE,4000.00,35000.00,ORDINARY,1035.00,
E0033,Ciara,O'Sullivan,••••••2RA,Customer Service,Senior Agent,WEEKLY,HOURLY,,16.1600,39.00,A,OCCUPATIONAL,0.0800,0.0600,2021-02-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0034,Tomasz,Moore,••••••7IA,Customer Service,Senior Agent,WEEKLY,HOURLY,,15.2200,30.00,A,,,,2015-08-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,225.00,MEDICAL_INSURANCE
E0035,Mateus,McCarthy,•••••95M,Finance,Financial Analyst,MONTHLY,SALARY,80700.00,,,A,,,,2012-10-28,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0036,Éabha,Carroll,••••••7WA,Administration,Administrator,MONTHLY,SALARY,40000.00,,,A,OCCUPATIONAL,0.0800,0.0500,2014-04-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,MEDICAL_INSURANCE
E0037,Declan,Moore,••••••1HA,Customer Service,Senior Agent,WEEKLY,HOURLY,,19.2100,39.00,A,,,,2025-11-12,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,MEDICAL_INSURANCE
E0038,Jack,Burke,•••••05F,Administration,Administrator,MONTHLY,SALARY,37100.00,,,A,,,,2021-12-24,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0039,Sinéad,Carroll,•••••39W,HR,HR Generalist,MONTHLY,SALARY,66000.00,,,A,OCCUPATIONAL,0.0800,0.0500,2021-01-02,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,90.00,
E0040,Pádraig,O'Doherty,••••••1JA,Sales,Account Executive,MONTHLY,SALARY,59500.00,,,A,OCCUPATIONAL,0.0600,0.0500,2012-03-24,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0041,Declan,Ryan,•••••96E,Marketing,Marketing Executive,MONTHLY,SALARY,53000.00,,,A,,,,2021-11-19,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0042,Ronan,Ryan,••••••8CA,IT,DevOps Engineer,MONTHLY,SALARY,108800.00,,,A,OCCUPATIONAL,0.0300,0.0600,2013-02-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0043,Priya,Silva,•••••40A,Customer Service,Senior Agent,WEEKLY,HOURLY,,15.1200,39.00,A,OCCUPATIONAL,0.0300,0.0300,2016-10-08,,,,,,,
E0044,Shane,O'Brien,•••••22K,HR,Recruiter,MONTHLY,SALARY,56800.00,,,A,OCCUPATIONAL,0.0800,0.0300,2018-08-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0045,Aisling,O'Connor,••••••7EA,Marketing,Content Specialist,MONTHLY,SALARY,56800.00,,,A,,,,2021-01-01,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0046,Orla,Brennan,••••••7RA,Operations,Operations Associate,MONTHLY,SALARY,40600.00,,,A,OCCUPATIONAL,0.0500,0.0300,2018-10-13,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0047,Adam,Brown,••••••2SA,Sales,Sales Representative,MONTHLY,SALARY,69300.00,,,A,,,,2025-11-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,COMPANY_CAR
E0048,Pádraig,O'Neill,••••••5TA,Finance,Accountant,MONTHLY,SALARY,88900.00,,,A,OCCUPATIONAL,0.0300,0.0300,2025-02-20,,,,,,,
E0049,Ana,Lynch,••••••8QA,Sales,Account Executive,MONTHLY,SALARY,60200.00,,,A,,,,2017-05-13,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,COMPANY_CAR
E0050,Sarah,O'Neill,•••••73D,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,18.2700,20.00,J,OCCUPATIONAL,0.0800,0.0300,2013-11-22,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0051,Shane,Brown,••••••3HA,Finance,Accounts Payable Clerk,MONTHLY,SALARY,62600.00,,,A,OCCUPATIONAL,0.0500,0.0600,2015-08-20,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0052,Eoin,Johnston,•••••06B,Customer Service,Senior Agent,WEEKLY,HOURLY,,16.1600,39.00,A,OCCUPATIONAL,0.0500,0.0300,2013-03-09,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,MEDICAL_INSURANCE
E0053,Saoirse,Kennedy,•••••34R,Operations,Logistics Coordinator,MONTHLY,SALARY,35100.00,,,A,,,,2016-04-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0054,Oisín,Campbell,•••••88J,IT,Software Engineer,MONTHLY,SALARY,88400.00,,,A,OCCUPATIONAL,0.0500,0.0300,2017-04-19,,CUMULATIVE,6000.00,53000.00,ORDINARY,315.00,
E0055,Niamh,McCarthy,•••••04H,IT,Software Engineer,MONTHLY,SALARY,71200.00,,,A,,,,2025-11-06,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0056,Orla,Keane,••••••8NA,Customer Service,Senior Agent,WEEKLY,HOURLY,,19.4700,39.00,A,OCCUPATIONAL,0.0300,0.0300,2024-06-14,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0057,Rahul,Sharma,•••••20N,Customer Service,Senior Agent,WEEKLY,HOURLY,,15.4100,39.00,A,PRSA,0.0300,0.0600,2023-06-20,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0058,Brian,Burke,••••••4KA,Sales,Account Executive,MONTHLY,SALARY,46000.00,,,A,OCCUPATIONAL,0.0600,0.0300,2017-11-09,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0059,Ciarán,Kelly,•••••32P,Marketing,Content Specialist,MONTHLY,SALARY,54300.00,,,A,,,,2020-05-10,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,MEDICAL_INSURANCE
E0060,Pádraig,Walsh,••••••2VA,Sales,Account Executive,MONTHLY,SALARY,44700.00,,,A,OCCUPATIONAL,0.0500,0.0600,2014-06-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0061,Niamh,Kowalski,•••••00J,Marketing,Content Specialist,MONTHLY,SALARY,58600.00,,,A,PRSA,0.0500,0.0600,2020-11-06,,CUMULATIVE,6000.00,53000.00,ORDINARY,225.00,
E0062,Conor,Kennedy,•••••25H,Operations,Logistics Coordinator,MONTHLY,SALARY,38100.00,,,A,OCCUPATIONAL,0.0600,0.0600,2019-07-16,,CUMULATIVE,4000.00,35000.00,ORDINARY,315.00,
E0063,Saoirse,Quinn,•••••95C,IT,DevOps Engineer,MONTHLY,SALARY,77200.00,,,A,,,,2019-08-10,,CUMULATIVE,6000.00,53000.00,ORDINARY,315.00,
E0064,Eoin,Daly,•••••12Q,Finance,Accounts Payable Clerk,MONTHLY,SALARY,53000.00,,,A,PRSA,0.0300,0.0300,2015-06-18,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0065,Patrick,Kelly,••••••7NA,Marketing,Content Specialist,MONTHLY,SALARY,57600.00,,,A,,,,2021-06-06,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0066,Ciara,Burke,•••••91I,Customer Service,Senior Agent,WEEKLY,HOURLY,,17.8400,30.00,A,PRSA,0.0600,0.0600,2023-01-19,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0067,Sinéad,Moore,••••••8QA,Sales,Sales Representative,MONTHLY,SALARY,54200.00,,,A,OCCUPATIONAL,0.0500,0.0300,2019-09-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0068,Katie,Walsh,•••••21G,Operations,Team Lead,MONTHLY,SALARY,33200.00,,,A,OCCUPATIONAL,0.0300,0.0600,2017-08-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0069,Niamh,Wilson,•••••26I,Marketing,Content Specialist,MONTHLY,SALARY,37700.00,,,A,OCCUPATIONAL,0.0500,0.0500,2015-05-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0070,Lucas,Flynn,•••••93E,Customer Service,Senior Agent,WEEKLY,HOURLY,,14.6100,39.00,A,OCCUPATIONAL,0.0600,0.0500,2024-02-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,225.00,
E0071,Declan,Ryan,••••••8EA,Management,Director,MONTHLY,SALARY,116300.00,,,A,OCCUPATIONAL,0.0600,0.0600,2021-01-09,,CUMULATIVE,6000.00,53000.00,ORDINARY,90.00,
E0072,Chloe,McLoughlin,•••••83A,Customer Service,Senior Agent,WEEKLY,HOURLY,,16.7700,20.00,A,OCCUPATIONAL,0.0600,0.0300,2024-02-17,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0073,Sarah,Kowalski,•••••46N,Operations,Team Lead,MONTHLY,SALARY,41400.00,,,A,,,,2021-02-02,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0074,Sinéad,Kennedy,••••••8SA,IT,DevOps Engineer,MONTHLY,SALARY,62000.00,,,A,,,,2020-07-17,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0075,Sarah,Johnston,•••••83V,IT,Support Engineer,MONTHLY,SALARY,79100.00,,,A,,,,2012-08-20,,CUMULATIVE,5000.00,44000.00,ORDINARY,0.00,
E0076,Grace,Moore,••••••6WA,Operations,Logistics Coordinator,MONTHLY,SALARY,38000.00,,,A,OCCUPATIONAL,0.0600,0.0300,2021-12-06,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0077,Tomasz,Keane,•••••01I,IT,Data Analyst,MONTHLY,SALARY,67400.00,,,A,,,,2019-06-03,,CUMULATIVE,6000.00,53000.00,ORDINARY,495.00,
E0078,Adam,Byrne,••••••5JA,Administration,Receptionist,MONTHLY,SALARY,34600.00,,,A,OCCUPATIONAL,0.0500,0.0300,2015-07-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0079,Sarah,Keane,•••••25E,IT,DevOps Engineer,MONTHLY,SALARY,76600.00,,,A,,,,2025-04-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,MEDICAL_INSURANCE
E0080,Aoife,Kelly,••••••8EA,IT,Support Engineer,MONTHLY,SALARY,75600.00,,,A,,,,2015-09-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0081,Orla,Wilson,•••••41H,IT,DevOps Engineer,MONTHLY,SALARY,52900.00,,,A,OCCUPATIONAL,0.0300,0.0500,2016-06-09,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0082,Méabh,Martin,•••••25G,Administration,Administrator,MONTHLY,SALARY,32800.00,,,A,OCCUPATIONAL,0.0800,0.0500,2025-12-19,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0083,Sinéad,Connolly,••••••7AA,Finance,Financial Analyst,MONTHLY,SALARY,69000.00,,,J,,,,2013-07-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,MEDICAL_INSURANCE
E0084,Zofia,Burke,—,Customer Service,Senior Agent,WEEKLY,HOURLY,,14.6200,30.00,A,PRSA,0.0800,0.0500,2018-06-12,,,,,,,MEDICAL_INSURANCE
E0085,Priya,Moore,•••••62B,HR,Recruiter,MONTHLY,SALARY,45100.00,,,A,OCCUPATIONAL,0.0600,0.0300,2018-01-10,,CUMULATIVE,6000.00,53000.00,ORDINARY,675.00,
E0086,Rahul,Silva,••••••4AA,IT,Data Analyst,MONTHLY,SALARY,108200.00,,,A,,,,2012-07-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0087,Ana,Silva,••••••3IA,IT,Software Engineer,MONTHLY,SALARY,81900.00,,,A,OCCUPATIONAL,0.0600,0.0500,2024-07-12,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,MEDICAL_INSURANCE
E0088,Liam,Byrne,••••••6CA,Sales,Account Executive,MONTHLY,SALARY,55100.00,,,A,PRSA,0.0800,0.0300,2020-10-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0089,Patrick,Byrne,••••••7HA,Management,Director,MONTHLY,SALARY,120800.00,,,S,,,,2018-02-04,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0090,Tomasz,Brennan,••••••3WA,Sales,Sales Representative,MONTHLY,SALARY,48500.00,,,A,,,,2020-07-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0091,Shane,Horgan,•••••79Q,Operations,Logistics Coordinator,MONTHLY,SALARY,45700.00,,,A,OCCUPATIONAL,0.0500,0.0300,2019-09-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0092,Jack,Nolan,••••••2PA,Sales,Account Executive,MONTHLY,SALARY,43600.00,,,A,,,,2022-09-23,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0093,Priya,Farrell,•••••19A,Sales,Sales Representative,MONTHLY,SALARY,56200.00,,,A,,,,2024-04-10,2026-04-18,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,COMPANY_CAR
E0094,Rory,Murray,••••••0RA,HR,HR Generalist,MONTHLY,SALARY,55800.00,,,A,,,,2023-10-23,,CUMULATIVE,6000.00,53000.00,ORDINARY,405.00,
E0095,Jack,Smith,••••••6CA,Administration,Administrator,MONTHLY,SALARY,39100.00,,,A,,,,2023-03-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0096,Mark,Brown,••••••4FA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,18.9300,39.00,A,OCCUPATIONAL,0.0300,0.0300,2023-06-28,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0097,Aoibhinn,Silva,••••••6MA,IT,Data Analyst,MONTHLY,SALARY,43500.00,,,A,OCCUPATIONAL,0.0800,0.0300,2016-03-28,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0098,Diarmuid,Sharma,•••••26L,Management,Head of Department,MONTHLY,SALARY,95200.00,,,A,,,,2019-02-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0099,Declan,Kelly,••••••8OA,HR,Recruiter,MONTHLY,SALARY,54000.00,,,A,,,,2013-10-24,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0100,Siobhán,Kelly,••••••2OA,HR,HR Generalist,MONTHLY,SALARY,39400.00,,,A,OCCUPATIONAL,0.0800,0.0500,2013-09-01,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0101,Aoibhinn,Kennedy,••••••4DA,Marketing,Marketing Executive,MONTHLY,SALARY,44500.00,,,A,OCCUPATIONAL,0.0500,0.0600,2016-02-10,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0102,Laura,Horgan,•••••48A,IT,Software Engineer,MONTHLY,SALARY,69700.00,,,A,PRSA,0.0500,0.0500,2024-12-09,,CUMULATIVE,5000.00,44000.00,ORDINARY,90.00,
E0103,Aoibhinn,McLoughlin,••••••3UA,Customer Service,Senior Agent,WEEKLY,HOURLY,,14.7900,39.00,A,PRSA,0.0300,0.0500,2025-01-08,2026-05-13,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0104,Grace,Murphy,•••••38Q,HR,Recruiter,MONTHLY,SALARY,50000.00,,,A,,,,2015-05-19,,CUMULATIVE,4000.00,44000.00,ORDINARY,225.00,
E0105,Pádraig,O'Connor,•••••19F,HR,Recruiter,MONTHLY,SALARY,40800.00,,,A,,,,2019-01-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,MEDICAL_INSURANCE
E0106,Méabh,Burke,••••••1JA,Operations,Logistics Coordinator,MONTHLY,SALARY,34500.00,,,A,,,,2015-03-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0107,Adam,Byrne,•••••83K,IT,Data Analyst,MONTHLY,SALARY,94100.00,,,A,,,,2018-09-02,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,MEDICAL_INSURANCE
E0108,Aoibhinn,Wilson,••••••9WA,Sales,Sales Representative,MONTHLY,SALARY,45000.00,,,A,OCCUPATIONAL,0.0500,0.0500,2015-11-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0109,Cian,Brown,••••••7KA,Operations,Team Lead,MONTHLY,SALARY,36800.00,,,A,OCCUPATIONAL,0.0300,0.0500,2013-05-13,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0110,Éabha,Silva,••••••9NA,HR,Recruiter,MONTHLY,SALARY,71500.00,,,A,PRSA,0.0500,0.0500,2020-12-02,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0111,Tadhg,Daly,•••••92U,IT,Software Engineer,MONTHLY,SALARY,56700.00,,,A,OCCUPATIONAL,0.0500,0.0600,2017-10-07,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0112,David,O'Sullivan,••••••9GA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.5700,39.00,A,,,,2024-06-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,MEDICAL_INSURANCE
E0113,Jack,Keane,••••••0BA,Administration,Receptionist,MONTHLY,SALARY,42500.00,,,A,OCCUPATIONAL,0.0300,0.0500,2022-12-11,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0114,Brian,Kelly,••••••9PA,Operations,Logistics Coordinator,MONTHLY,SALARY,36300.00,,,A,OCCUPATIONAL,0.0500,0.0500,2017-05-04,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0115,Róisín,Kelly,•••••97W,Operations,Operations Associate,MONTHLY,SALARY,41900.00,,,A,OCCUPATIONAL,0.0600,0.0500,2018-10-18,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0116,Tomasz,O'Doherty,••••••5PA,Administration,Administrator,MONTHLY,SALARY,45000.00,,,A,,,,2012-05-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0117,Niamh,Brennan,•••••33F,Administration,Administrator,MONTHLY,SALARY,41400.00,,,A,OCCUPATIONAL,0.0300,0.0500,2021-09-26,,CUMULATIVE,5000.00,44000.00,ORDINARY,0.00,
E0118,Fionn,Lynch,••••••4RA,Customer Service,Senior Agent,WEEKLY,HOURLY,,16.6800,39.00,A,OCCUPATIONAL,0.0800,0.0600,2024-07-04,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0119,Aoibhinn,Dunne,••••••5IA,Finance,Financial Analyst,MONTHLY,SALARY,53500.00,,,A,,,,2012-06-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0120,Darragh,Collins,••••••3QA,Finance,Financial Analyst,MONTHLY,SALARY,54600.00,,,A,OCCUPATIONAL,0.0500,0.0500,2026-03-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0121,Sinéad,Lynch,•••••22D,IT,Support Engineer,MONTHLY,SALARY,95800.00,,,A,OCCUPATIONAL,0.0600,0.0500,2015-11-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0122,Grace,Hughes,•••••44M,Management,Head of Department,MONTHLY,SALARY,140400.00,,,A,,,,2021-10-10,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0123,Róisín,Campbell,••••••2TA,Sales,Account Executive,MONTHLY,SALARY,75200.00,,,A,,,,2023-12-08,,CUMULATIVE,4000.00,35000.00,ORDINARY,315.00,
E0124,Tadhg,Moore,••••••1PA,Operations,Logistics Coordinator,MONTHLY,SALARY,57800.00,,,A,PRSA,0.0600,0.0300,2025-02-16,,CUMULATIVE,6000.00,53000.00,ORDINARY,1035.00,
E0125,Eoin,Brennan,••••••6EA,Management,Director,MONTHLY,SALARY,132700.00,,,A,,,,2012-08-09,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,90.00,
E0126,Liam,Sharma,••••••8JA,IT,Data Analyst,MONTHLY,SALARY,88600.00,,,A,OCCUPATIONAL,0.0300,0.0300,2013-07-17,,,,,,,
E0127,Diarmuid,Kelly,•••••90L,IT,Software Engineer,MONTHLY,SALARY,70500.00,,,A,OCCUPATIONAL,0.0500,0.0300,2014-02-12,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0128,Laura,Hughes,•••••73A,Marketing,Marketing Executive,MONTHLY,SALARY,46100.00,,,A,OCCUPATIONAL,0.0600,0.0500,2023-03-14,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
